jogo,time,adversario,tempo,torre,inibidor,barao,dragao,arauto,ama,ouro,lado/status
Jogo 1,LNG,T1,26:37,2,0,0,0,0,2/13/2,41532,DERROTA TIME AZUL
Jogo 1,T1,LNG,26:37,8,1,1,4,2,13/2/39,54059,VITÓRIA TIME VERMELHO
Jogo 2,LNG,T1,31:40,2,0,0,0,1,3/8/6,49147,DERROTA TIME AZUL
Jogo 2,T1,LNG,31:40,7,1,0,4,1,8/3/18,56103,VITÓRIA TIME VERMELHO
Jogo 3,LNG,T1,26:18,2,0,0,0,0,3/13/7,40096,DERROTA TIME AZUL
Jogo 3,T1,LNG,26:18,10,2,1,4,2,13/3/25,52369,VITÓRIA TIME VERMELHO
Jogo 1,JDG,KT,29:39,2,0,0,2,0,4/15/6,48069,DERROTA TIME AZUL
Jogo 1,KT,JDG,29:39,7,1,1,2,2,15/4/40,59103,VITÓRIA TIME VERMELHO
Jogo 2,JDG,KT,25:51,9,2,1,3,1,18/4/45,54388,VITÓRIA TIME AZUL
Jogo 2,KT,JDG,25:51,1,0,0,1,1,4/18/4,41601,DERROTA TIME VERMELHO
Jogo 3,KT,JDG,27:21,1,0,0,0,0,6/14/12,44433,DERROTA TIME AZUL
Jogo 3,JDG,KT,27:21,7,1,0,4,2,14/6/35,51959,VITÓRIA TIME VERMELHO
Jogo 4,KT,JDG,33:39,5,0,0,2,2,15/14/36,60151,DERROTA TIME AZUL
Jogo 4,JDG,KT,33:39,9,3,2,3,0,14/15/32,63395,VITÓRIA TIME VERMELHO
Jogo 1,GEN,BLG,29:41,3,0,0,0,0,5/14/6,48578,DERROTA TIME AZUL
Jogo 1,BLG,GEN,29:41,8,1,1,5,2,14/5/36,59190,VITÓRIA TIME VERMELHO
Jogo 2,BLG,GEN,28:0,10,2,2,4,2,15/3/29,58761,VITÓRIA TIME AZUL
Jogo 2,GEN,BLG,28:0,0,0,0,0,0,3/15/5,42377,DERROTA TIME VERMELHO
Jogo 3,GEN,BLG,46:10,11,4,3,4,2,13/9/33,90253,VITÓRIA TIME AZUL
Jogo 3,BLG,GEN,46:10,5,1,0,3,0,9/13/19,77070,DERROTA TIME VERMELHO
Jogo 4,BLG,GEN,35:50,4,0,1,2,1,11/20/30,60190,DERROTA TIME AZUL
Jogo 4,GEN,BLG,35:50,8,1,1,3,1,20/11/58,69346,VITÓRIA TIME VERMELHO
Jogo 5,BLG,GEN,33:42,10,2,2,3,1,14/6/45,63411,VITÓRIA TIME AZUL
